,Bit,Ether,tether,Doge,Sand,XRP,Solana,Shib
2023-12-02 13:00:00,51917000.0,2812000.0,,113.0,559.0,822.0,83610.0,0.0113
2023-12-02 17:00:00,51780000.0,2810000.0,,113.0,564.0,821.0,83200.0,0.0113
2023-12-02 21:00:00,51850000.0,2813000.0,,113.0,565.0,821.0,83370.0,0.0113
2023-12-03 01:00:00,52417000.0,2892000.0,,115.0,572.0,828.0,83670.0,0.0114
2023-12-03 05:00:00,52833000.0,2894000.0,,116.0,576.0,828.0,85240.0,0.0114
2023-12-03 09:00:00,52801000.0,2904000.0,,117.0,576.0,830.0,87400.0,0.0115
2023-12-03 13:00:00,52762000.0,2891000.0,,115.0,572.0,830.0,85860.0,0.0115
2023-12-03 17:00:00,52876000.0,2896000.0,,115.0,574.0,847.0,85630.0,0.0114
2023-12-03 21:00:00,53362000.0,2903000.0,,114.0,578.0,840.0,85250.0,0.0114
2023-12-04 05:00:00,53864000.0,2962000.0,,115.0,578.0,840.0,85760.0,0.0124
2023-12-04 09:00:00,55106000.0,2992000.0,,117.0,594.0,845.0,86890.0,0.0122
2023-12-04 13:00:00,56170000.0,3039000.0,,123.0,594.0,852.0,87310.0,0.0129
2023-12-04 17:00:00,56654000.0,3055000.0,,122.0,595.0,862.0,86200.0,0.0129
2023-12-04 21:00:00,56650000.0,3050000.0,,121.0,584.0,843.0,83800.0,0.0123
2023-12-05 01:00:00,56867000.0,3026000.0,,121.0,574.0,841.0,82840.0,0.0122
2023-12-05 05:00:00,57337000.0,3050000.0,,125.0,585.0,849.0,84040.0,0.0126
2023-12-05 09:00:00,56949000.0,3046000.0,,125.0,610.0,851.0,83920.0,0.0125
2023-12-05 13:00:00,56801000.0,3028000.0,,123.0,621.0,840.0,82170.0,0.0124
2023-12-05 17:00:00,57047000.0,3014000.0,,121.0,615.0,835.0,82140.0,0.0124
2023-12-05 21:00:00,58000000.0,3052000.0,,124.0,607.0,841.0,84100.0,0.013
2023-12-06 01:00:00,59897000.0,3136000.0,,130.0,615.0,852.0,84860.0,0.0131
2023-12-06 05:00:00,60769000.0,3146000.0,,130.0,617.0,851.0,83890.0,0.013
2023-12-06 09:00:00,60642000.0,3163000.0,,133.0,632.0,857.0,88000.0,0.0135
2023-12-06 13:00:00,60176000.0,3133000.0,,147.0,621.0,863.0,88370.0,0.0142
2023-12-06 17:00:00,61312000.0,3158000.0,,144.0,624.0,882.0,91560.0,0.0178
2023-12-06 21:00:00,61040000.0,3135000.0,,144.0,626.0,867.0,87890.0,0.0141
2023-12-07 01:00:00,60646000.0,3136000.0,,139.0,629.0,868.0,88500.0,0.0139
2023-12-07 05:00:00,60583000.0,3116000.0,,137.0,627.0,887.0,88820.0,0.0138
2023-12-07 09:00:00,60958000.0,3122000.0,,136.0,629.0,886.0,88500.0,0.0136
2023-12-07 13:00:00,60888000.0,3131000.0,,136.0,640.0,900.0,87940.0,0.0136
2023-12-07 17:00:00,60517000.0,3119000.0,,135.0,634.0,892.0,88490.0,0.0134
2023-12-07 21:00:00,60311000.0,3190000.0,,133.0,626.0,876.0,90780.0,0.0134
2023-12-08 01:00:00,60000000.0,3218000.0,,133.0,636.0,884.0,91950.0,0.0135
2023-12-08 05:00:00,59533000.0,3260000.0,,133.0,637.0,886.0,94980.0,0.0135
2023-12-08 09:00:00,59700000.0,3274000.0,,133.0,640.0,892.0,98840.0,0.0136
2023-12-08 13:00:00,59501000.0,3266000.0,,134.0,639.0,889.0,99780.0,0.0143
2023-12-08 17:00:00,59885000.0,3242000.0,,135.0,649.0,888.0,100750.0,0.0139
2023-12-08 21:00:00,60000000.0,3240000.0,,135.0,660.0,902.0,100950.0,0.0138
2023-12-09 01:00:00,59948000.0,3223000.0,,137.0,673.0,916.0,100950.0,0.0139
2023-12-09 05:00:00,60753000.0,3235000.0,,141.0,673.0,918.0,103000.0,0.0142
2023-12-09 09:00:00,60395000.0,3226000.0,,141.0,703.0,929.0,103400.0,0.0142
2023-12-09 13:00:00,60376000.0,3250000.0,,143.0,695.0,950.0,105800.0,0.0143
2023-12-09 17:00:00,60139000.0,3268000.0,,143.0,723.0,946.0,106100.0,0.0143
