,Bit,Ether,tether,Doge,Sand,XRP,Solana,Shib
2024-11-01 01:00:00,99045000.0,3582000.0,1398.0,232.9,346.0,716.5,238450.0,0.02562
2024-11-01 02:00:00,99000000.0,3581000.0,1399.0,233.1,346.0,714.5,238800.0,0.02542
2024-11-01 03:00:00,98977000.0,3559000.0,1401.0,232.7,342.0,712.0,238150.0,0.02531
2024-11-01 04:00:00,98827000.0,3539000.0,1399.0,229.8,342.0,710.7,238200.0,0.02528
2024-11-01 05:00:00,98231000.0,3535000.0,1399.0,225.0,340.0,712.9,237750.0,0.02514
2024-11-01 06:00:00,98415000.0,3524000.0,1397.0,224.0,342.0,711.8,236800.0,0.02499
2024-11-01 07:00:00,98320000.0,3524000.0,1395.0,226.9,341.0,713.3,236300.0,0.02501
2024-11-01 08:00:00,98568000.0,3530000.0,1396.0,227.0,342.0,713.5,236600.0,0.02518
2024-11-01 09:00:00,98535000.0,3539000.0,1398.0,229.0,341.0,714.9,236650.0,0.02518
2024-11-01 10:00:00,97958000.0,3525000.0,1395.0,228.4,340.0,713.6,236050.0,0.025
2024-11-01 11:00:00,96803000.0,3494000.0,1393.0,224.4,336.0,711.3,233300.0,0.02463
2024-11-01 12:00:00,97220000.0,3513000.0,1395.0,224.4,339.0,724.1,234550.0,0.02476
2024-11-01 13:00:00,97051000.0,3507000.0,1394.0,223.5,339.0,727.6,233300.0,0.02455
2024-11-01 14:00:00,97125000.0,3510000.0,1394.0,223.5,339.0,719.5,233250.0,0.0245
2024-11-01 15:00:00,97082000.0,3505000.0,1395.0,223.1,338.0,718.7,232700.0,0.02444
2024-11-01 16:00:00,96649000.0,3493000.0,1394.0,218.0,335.0,716.8,231400.0,0.02423
2024-11-01 17:00:00,96895000.0,3501000.0,1394.0,220.9,337.0,722.6,232000.0,0.02428
2024-11-01 18:00:00,96901000.0,3499000.0,1393.0,221.5,337.0,729.2,232650.0,0.02422
2024-11-01 19:00:00,97850000.0,3523000.0,1394.0,225.7,341.0,724.9,235200.0,0.02449
2024-11-01 20:00:00,98070000.0,3525000.0,1396.0,226.7,343.0,724.6,235550.0,0.02458
2024-11-01 21:00:00,98393000.0,3549000.0,1396.0,228.0,345.0,724.6,237100.0,0.02477
2024-11-01 22:00:00,99236000.0,3590000.0,1397.0,233.1,348.0,724.9,241200.0,0.02523
2024-11-01 23:00:00,99758000.0,3604000.0,1395.0,235.4,348.0,724.9,242700.0,0.02531
2024-11-02 00:00:00,99234000.0,3570000.0,1398.0,232.5,345.0,729.4,239150.0,0.02516
2024-11-02 01:00:00,98500000.0,3543000.0,1399.0,228.4,344.0,728.2,234200.0,0.02485
2024-11-02 02:00:00,97889000.0,3529000.0,1397.0,226.5,343.0,726.6,233900.0,0.02472
2024-11-02 03:00:00,97278000.0,3517000.0,1399.0,225.5,342.0,721.4,233400.0,0.0246
2024-11-02 04:00:00,97193000.0,3522000.0,1401.0,226.0,341.0,723.0,233500.0,0.02452
2024-11-02 05:00:00,97393000.0,3546000.0,1402.0,226.6,343.0,724.5,234200.0,0.02472
2024-11-02 06:00:00,97235000.0,3533000.0,1403.0,224.8,341.0,722.3,232250.0,0.02457
2024-11-02 07:00:00,97459000.0,3526000.0,1403.0,223.8,341.0,719.4,232750.0,0.02454
2024-11-02 08:00:00,97554000.0,3528000.0,1402.0,223.4,343.0,719.8,233150.0,0.02466
2024-11-02 09:00:00,97623000.0,3527000.0,1400.0,226.7,345.0,721.6,234100.0,0.02486
2024-11-02 10:00:00,97650000.0,3527000.0,1401.0,226.4,345.0,722.0,234900.0,0.02493
2024-11-02 11:00:00,97999000.0,3535000.0,1402.0,229.3,346.0,723.0,236150.0,0.0251
2024-11-02 12:00:00,97774000.0,3523000.0,1401.0,228.4,345.0,722.2,235050.0,0.02498
2024-11-02 13:00:00,97550000.0,3516000.0,1402.0,226.3,343.0,722.1,234150.0,0.02488
2024-11-02 14:00:00,97749000.0,3525000.0,1403.0,227.7,344.0,720.9,234300.0,0.02504
2024-11-02 15:00:00,97750000.0,3525000.0,1403.0,227.7,344.0,720.5,234200.0,0.02504
2024-11-02 16:00:00,97860000.0,3520000.0,1402.0,228.0,346.0,719.8,235200.0,0.02504
2024-11-02 17:00:00,97890000.0,3519000.0,1403.0,227.7,346.0,719.5,235250.0,0.025
2024-11-02 18:00:00,97797000.0,3515000.0,1403.0,225.6,344.0,719.3,234550.0,0.02483
2024-11-02 19:00:00,97643000.0,3512000.0,1403.0,225.1,343.0,718.3,233750.0,0.02478
2024-11-02 20:00:00,97601000.0,3512000.0,1403.0,225.1,345.0,718.7,233400.0,0.02476
2024-11-02 21:00:00,97521000.0,3506000.0,1402.0,224.8,343.0,718.5,233100.0,0.02471
2024-11-02 22:00:00,97697000.0,3503000.0,1403.0,222.1,341.0,718.1,232700.0,0.02458
2024-11-02 23:00:00,97392000.0,3494000.0,1404.0,222.2,339.0,716.0,230950.0,0.0245
2024-11-03 00:00:00,97400000.0,3496000.0,1403.0,221.6,340.0,716.3,229950.0,0.02454
2024-11-03 01:00:00,97643000.0,3501000.0,1405.0,223.3,339.0,718.4,231850.0,0.02462
2024-11-03 02:00:00,97640000.0,3499000.0,1404.0,222.5,338.0,718.0,231300.0,0.02459
2024-11-03 03:00:00,97595000.0,3499000.0,1406.0,223.0,337.0,717.2,230600.0,0.02444
2024-11-03 04:00:00,97661000.0,3502000.0,1405.0,225.0,338.0,716.2,232200.0,0.02457
2024-11-03 05:00:00,97688000.0,3504000.0,1405.0,224.9,338.0,715.9,234100.0,0.02457
2024-11-03 06:00:00,97598000.0,3501000.0,1404.0,224.0,338.0,714.5,234050.0,0.02456
2024-11-03 07:00:00,97495000.0,3503000.0,1404.0,223.7,338.0,716.5,233600.0,0.02455
2024-11-03 08:00:00,97400000.0,3497000.0,1405.0,223.8,336.0,715.7,233150.0,0.02449
2024-11-03 09:00:00,97232000.0,3500000.0,1404.0,224.0,338.0,716.1,233400.0,0.0245
2024-11-03 10:00:00,97007000.0,3487000.0,1404.0,221.7,337.0,714.7,231850.0,0.02432
2024-11-03 11:00:00,96838000.0,3474000.0,1406.0,219.0,335.0,712.5,230450.0,0.02417
2024-11-03 12:00:00,96200000.0,3442000.0,1406.0,213.9,329.0,707.0,228250.0,0.02395
2024-11-03 13:00:00,96386000.0,3457000.0,1405.0,214.3,333.0,708.4,229350.0,0.02412
2024-11-03 14:00:00,96337000.0,3448000.0,1404.0,214.3,333.0,708.4,229250.0,0.02407
2024-11-03 15:00:00,96260000.0,3449000.0,1403.0,213.6,333.0,708.4,229050.0,0.02408
2024-11-03 16:00:00,96195000.0,3445000.0,1402.0,213.3,332.0,710.0,229700.0,0.02405
2024-11-03 17:00:00,95950000.0,3443000.0,1401.0,213.2,331.0,708.3,229450.0,0.02399
2024-11-03 18:00:00,95800000.0,3441000.0,1399.0,213.2,331.0,706.4,229250.0,0.02395
2024-11-03 19:00:00,95664000.0,3436000.0,1397.0,211.6,329.0,704.4,229350.0,0.02383
2024-11-03 20:00:00,95632000.0,3435000.0,1398.0,210.7,329.0,704.4,230100.0,0.02374
2024-11-03 21:00:00,95651000.0,3435000.0,1397.0,209.5,326.0,702.8,229650.0,0.02363
2024-11-03 22:00:00,95649000.0,3433000.0,1399.0,208.4,325.0,701.0,228700.0,0.02352
2024-11-03 23:00:00,95200000.0,3406000.0,1398.0,205.9,320.0,696.1,225450.0,0.0232
2024-11-04 00:00:00,95127000.0,3410000.0,1396.0,203.9,319.0,694.0,223350.0,0.02304
2024-11-04 01:00:00,95772000.0,3433000.0,1397.0,207.0,321.0,697.6,225350.0,0.02329
2024-11-04 02:00:00,95749000.0,3429000.0,1398.0,206.2,322.0,700.0,226000.0,0.02335
2024-11-04 03:00:00,95643000.0,3425000.0,1401.0,205.9,321.0,699.2,225600.0,0.02327
2024-11-04 04:00:00,96086000.0,3433000.0,1400.0,208.6,322.0,701.2,225650.0,0.02341
2024-11-04 05:00:00,96599000.0,3455000.0,1400.0,210.7,324.0,705.1,228050.0,0.0237
2024-11-04 06:00:00,97167000.0,3467000.0,1402.0,216.0,328.0,706.3,229550.0,0.02391
2024-11-04 07:00:00,97153000.0,3467000.0,1401.0,213.8,328.0,706.5,229350.0,0.02382
2024-11-04 08:00:00,96201000.0,3435000.0,1398.0,212.3,326.0,703.6,227550.0,0.02367
2024-11-04 09:00:00,95999000.0,3427000.0,1396.0,211.8,324.0,701.8,226650.0,0.02359
2024-11-04 10:00:00,96296000.0,3444000.0,1394.0,213.1,327.0,706.5,227400.0,0.02372
2024-11-04 11:00:00,96600000.0,3465000.0,1395.0,214.2,328.0,709.0,229200.0,0.02384
2024-11-04 12:00:00,96803000.0,3469000.0,1394.0,215.5,329.0,708.6,229800.0,0.02393
