,Bit,Ether,tether,Doge,Sand,XRP,Solana,Shib
2023-12-02 13:00:00,51768000.0,2795000.0,,111.0,555.0,819.0,81330.0,0.0111
2023-12-02 17:00:00,51645000.0,2795000.0,,111.0,557.0,817.0,82200.0,0.0111
2023-12-02 21:00:00,51660000.0,2796000.0,,111.0,557.0,817.0,82070.0,0.0111
2023-12-03 01:00:00,51655000.0,2799000.0,,111.0,563.0,817.0,82000.0,0.0112
2023-12-03 05:00:00,52213000.0,2859000.0,,113.0,569.0,822.0,83320.0,0.0113
2023-12-03 09:00:00,52531000.0,2874000.0,,114.0,564.0,825.0,84660.0,0.0113
2023-12-03 13:00:00,52591000.0,2881000.0,,113.0,565.0,825.0,84840.0,0.0113
2023-12-03 17:00:00,52701000.0,2884000.0,,112.0,565.0,827.0,84370.0,0.0112
2023-12-03 21:00:00,52717000.0,2879000.0,,112.0,564.0,828.0,83550.0,0.0112
2023-12-04 05:00:00,53015000.0,2888000.0,,112.0,566.0,831.0,83850.0,0.0113
2023-12-04 09:00:00,53690000.0,2942000.0,,114.0,573.0,835.0,84560.0,0.0119
2023-12-04 13:00:00,54590000.0,2964000.0,,115.0,585.0,841.0,85250.0,0.012
2023-12-04 17:00:00,55400000.0,2985000.0,,116.0,553.0,828.0,81500.0,0.0121
2023-12-04 21:00:00,55800000.0,2988000.0,,117.0,564.0,832.0,81620.0,0.0119
2023-12-05 01:00:00,55873000.0,2989000.0,,119.0,566.0,834.0,81800.0,0.012
2023-12-05 05:00:00,56499000.0,3011000.0,,119.0,572.0,839.0,82590.0,0.012
2023-12-05 09:00:00,56133000.0,3008000.0,,121.0,578.0,838.0,81360.0,0.0121
2023-12-05 13:00:00,56000000.0,2962000.0,,118.0,595.0,826.0,80010.0,0.012
2023-12-05 17:00:00,56204000.0,2975000.0,,119.0,595.0,827.0,80750.0,0.0121
2023-12-05 21:00:00,56830000.0,3005000.0,,120.0,597.0,833.0,81880.0,0.0123
2023-12-06 01:00:00,57548000.0,3031000.0,,122.0,601.0,838.0,82540.0,0.0126
2023-12-06 05:00:00,59250000.0,3073000.0,,126.0,604.0,843.0,82500.0,0.0126
2023-12-06 09:00:00,59698000.0,3110000.0,,128.0,611.0,845.0,83350.0,0.0128
