,Bit,Ether,tether,Doge,Sand,XRP,Solana,Shib
2024-11-01 01:00:00,98295000.0,3561000.0,1395.0,230.0,344.0,710.6,236950.0,0.02521
2024-11-01 02:00:00,98323000.0,3534000.0,1396.0,230.2,342.0,708.3,236900.0,0.02503
2024-11-01 03:00:00,98231000.0,3514000.0,1397.0,226.2,338.0,705.1,236000.0,0.025
2024-11-01 04:00:00,98000000.0,3510000.0,1396.0,222.2,338.0,707.0,235650.0,0.0248
2024-11-01 05:00:00,97300000.0,3500000.0,1396.0,218.7,337.0,707.1,235450.0,0.02476
2024-11-01 06:00:00,97360000.0,3508000.0,1391.0,218.1,337.0,708.5,235500.0,0.02469
2024-11-01 07:00:00,97693000.0,3490000.0,1391.0,223.2,337.0,708.6,233300.0,0.0247
2024-11-01 08:00:00,98100000.0,3508000.0,1393.0,225.0,338.0,711.2,235050.0,0.02494
2024-11-01 09:00:00,97848000.0,3509000.0,1394.0,225.0,339.0,710.7,235000.0,0.02495
2024-11-01 10:00:00,96333000.0,3471000.0,1390.0,222.7,335.0,705.5,231300.0,0.02451
2024-11-01 11:00:00,95520000.0,3430000.0,1389.0,218.0,330.0,700.0,229650.0,0.0242
2024-11-01 12:00:00,96501000.0,3481000.0,1390.0,219.9,335.0,710.0,232350.0,0.02432
2024-11-01 13:00:00,96480000.0,3481000.0,1391.0,219.1,336.0,717.2,232150.0,0.02427
2024-11-01 14:00:00,96823000.0,3491000.0,1392.0,221.8,336.0,714.5,232400.0,0.02435
2024-11-01 15:00:00,96359000.0,3482000.0,1393.0,216.2,333.0,714.8,230300.0,0.02415
2024-11-01 16:00:00,96160000.0,3459000.0,1392.0,214.5,330.0,710.0,229650.0,0.02397
2024-11-01 17:00:00,96350000.0,3474000.0,1392.0,217.0,333.0,712.1,230500.0,0.02392
2024-11-01 18:00:00,96479000.0,3477000.0,1391.0,219.5,335.0,719.8,230250.0,0.02399
2024-11-01 19:00:00,96800000.0,3491000.0,1391.0,220.1,336.0,721.6,232550.0,0.02415
2024-11-01 20:00:00,97525000.0,3509000.0,1393.0,223.8,340.0,722.1,233950.0,0.02439
2024-11-01 21:00:00,97597000.0,3506000.0,1393.0,224.0,340.0,721.5,234000.0,0.0244
2024-11-01 22:00:00,97919000.0,3533000.0,1393.0,225.9,343.0,720.8,236450.0,0.02457
2024-11-01 23:00:00,98684000.0,3550000.0,1392.0,230.0,343.0,721.2,237150.0,0.02497
2024-11-02 00:00:00,96539000.0,3472000.0,1391.0,221.1,335.0,715.6,228900.0,0.0243
2024-11-02 01:00:00,96920000.0,3494000.0,1395.0,222.0,337.0,720.3,229000.0,0.02443
2024-11-02 02:00:00,97013000.0,3501000.0,1394.0,223.0,339.0,719.6,231350.0,0.02447
2024-11-02 03:00:00,96600000.0,3500000.0,1395.0,222.6,340.0,718.0,231850.0,0.02434
2024-11-02 04:00:00,96350000.0,3488000.0,1397.0,222.9,339.0,717.2,231500.0,0.02427
2024-11-02 05:00:00,96952000.0,3519000.0,1399.0,223.7,340.0,721.5,232000.0,0.02446
2024-11-02 06:00:00,96550000.0,3487000.0,1399.0,219.9,337.0,713.0,230000.0,0.02419
2024-11-02 07:00:00,97000000.0,3509000.0,1400.0,220.1,339.0,714.6,231000.0,0.02436
2024-11-02 08:00:00,97174000.0,3515000.0,1399.0,220.8,340.0,716.6,232050.0,0.02445
2024-11-02 09:00:00,97055000.0,3509000.0,1395.0,222.8,341.0,716.3,232500.0,0.02459
2024-11-02 10:00:00,97367000.0,3515000.0,1398.0,225.0,343.0,719.4,233650.0,0.02475
2024-11-02 11:00:00,97517000.0,3516000.0,1399.0,225.6,344.0,720.9,234250.0,0.02486
2024-11-02 12:00:00,97500000.0,3505000.0,1399.0,225.5,342.0,720.0,233300.0,0.02479
2024-11-02 13:00:00,97375000.0,3505000.0,1400.0,224.4,342.0,718.7,233100.0,0.0247
2024-11-02 14:00:00,97410000.0,3505000.0,1401.0,223.5,342.0,717.3,232300.0,0.02465
2024-11-02 15:00:00,97595000.0,3510000.0,1401.0,226.2,342.0,718.4,233200.0,0.02483
2024-11-02 16:00:00,97725000.0,3510000.0,1400.0,226.5,343.0,717.6,233300.0,0.02492
2024-11-02 17:00:00,97603000.0,3502000.0,1400.0,224.5,343.0,717.3,233700.0,0.02477
2024-11-02 18:00:00,97589000.0,3498000.0,1401.0,223.2,342.0,717.7,233200.0,0.02463
2024-11-02 19:00:00,97310000.0,3498000.0,1401.0,222.5,341.0,716.2,232800.0,0.02459
2024-11-02 20:00:00,97450000.0,3500000.0,1400.0,223.0,342.0,716.2,232300.0,0.0246
2024-11-02 21:00:00,97153000.0,3481000.0,1400.0,218.1,338.0,713.7,230700.0,0.02427
2024-11-02 22:00:00,97180000.0,3460000.0,1400.0,219.0,336.0,713.5,230150.0,0.02428
2024-11-02 23:00:00,96825000.0,3473000.0,1401.0,219.3,336.0,713.0,228000.0,0.02428
2024-11-03 00:00:00,96911000.0,3476000.0,1400.0,218.1,336.0,710.9,227350.0,0.0242
2024-11-03 01:00:00,97161000.0,3484000.0,1400.0,219.9,336.0,715.0,229550.0,0.02432
2024-11-03 02:00:00,97286000.0,3480000.0,1401.0,220.4,336.0,714.9,229650.0,0.02433
2024-11-03 03:00:00,97287000.0,3481000.0,1402.0,220.1,334.0,713.9,229000.0,0.02425
2024-11-03 04:00:00,97472000.0,3490000.0,1403.0,222.0,336.0,714.8,230000.0,0.02431
2024-11-03 05:00:00,97483000.0,3495000.0,1403.0,223.3,336.0,713.8,231600.0,0.02446
2024-11-03 06:00:00,97355000.0,3493000.0,1403.0,222.2,337.0,713.0,232950.0,0.02446
2024-11-03 07:00:00,97382000.0,3493000.0,1402.0,222.0,336.0,714.0,232400.0,0.02442
2024-11-03 08:00:00,96825000.0,3482000.0,1401.0,220.7,334.0,713.1,231550.0,0.0243
2024-11-03 09:00:00,96922000.0,3480000.0,1402.0,220.6,335.0,714.0,231400.0,0.0242
2024-11-03 10:00:00,96823000.0,3467000.0,1402.0,218.5,334.0,711.0,229850.0,0.02409
2024-11-03 11:00:00,95271000.0,3412000.0,1402.0,208.0,324.7,701.2,226100.0,0.02344
2024-11-03 12:00:00,95524000.0,3407000.0,1404.0,209.5,324.0,701.9,226000.0,0.02356
2024-11-03 13:00:00,95805000.0,3436000.0,1402.0,210.2,328.0,705.0,227150.0,0.02378
2024-11-03 14:00:00,95892000.0,3424000.0,1401.0,210.5,329.0,706.3,227100.0,0.02385
2024-11-03 15:00:00,95600000.0,3424000.0,1400.0,209.9,329.0,706.0,226550.0,0.02383
2024-11-03 16:00:00,95699000.0,3428000.0,1400.0,211.7,330.0,707.0,228000.0,0.02386
2024-11-03 17:00:00,95490000.0,3417000.0,1398.0,211.2,328.0,705.0,228000.0,0.02386
2024-11-03 18:00:00,95142000.0,3414000.0,1396.0,209.2,325.0,700.9,226950.0,0.02363
2024-11-03 19:00:00,95050000.0,3416000.0,1395.0,209.6,326.0,700.9,227150.0,0.02365
2024-11-03 20:00:00,95168000.0,3419000.0,1394.0,206.0,324.0,700.9,227750.0,0.02344
2024-11-03 21:00:00,95200000.0,3419000.0,1394.0,206.8,324.0,700.5,227200.0,0.02345
2024-11-03 22:00:00,94851000.0,3395000.0,1396.0,204.2,317.0,692.0,224300.0,0.023
2024-11-03 23:00:00,94128000.0,3372000.0,1393.0,201.3,315.0,689.0,221450.0,0.02273
2024-11-04 00:00:00,93905000.0,3366000.0,1391.0,198.5,313.0,686.1,220000.0,0.02259
2024-11-04 01:00:00,94895000.0,3402000.0,1394.0,202.9,317.0,692.6,222750.0,0.02296
2024-11-04 02:00:00,95204000.0,3410000.0,1396.0,203.5,319.0,696.0,222750.0,0.02309
2024-11-04 03:00:00,94700000.0,3375000.0,1397.0,201.6,315.0,691.0,221400.0,0.02285
2024-11-04 04:00:00,95116000.0,3394000.0,1397.0,202.0,316.0,692.7,222150.0,0.02293
2024-11-04 05:00:00,95717000.0,3425000.0,1398.0,207.6,321.0,700.4,224800.0,0.02336
2024-11-04 06:00:00,96534000.0,3451000.0,1399.0,210.3,324.0,704.0,227650.0,0.02364
2024-11-04 07:00:00,96015000.0,3430000.0,1396.0,209.6,325.0,701.5,226650.0,0.02347
2024-11-04 08:00:00,95550000.0,3412000.0,1394.0,209.3,323.0,699.9,225550.0,0.02338
2024-11-04 09:00:00,94801000.0,3386000.0,1390.0,206.0,319.0,695.9,222850.0,0.02313
2024-11-04 10:00:00,95337000.0,3402000.0,1389.0,207.5,321.0,699.2,224100.0,0.02327
2024-11-04 11:00:00,95999000.0,3430000.0,1393.0,210.8,324.0,704.6,226550.0,0.02358
2024-11-04 12:00:00,96000000.0,3443000.0,1391.0,210.5,326.0,705.7,226250.0,0.02343
2024-11-04 13:00:00,96011000.0,3437000.0,1390.0,210.7,325.0,704.7,226400.0,0.02345
2024-11-04 14:00:00,95400000.0,3412000.0,1388.0,207.3,321.0,699.6,223800.0,0.02321
2024-11-04 15:00:00,95534000.0,3418000.0,1387.0,207.9,322.0,700.3,224200.0,0.02324
2024-11-04 16:00:00,95000000.0,3412000.0,1388.0,209.1,321.0,700.3,224000.0,0.02324
2024-11-04 17:00:00,95036000.0,3401000.0,1388.0,207.7,319.0,701.0,222100.0,0.02308
2024-11-04 18:00:00,95100000.0,3399000.0,1388.0,208.8,319.0,703.3,222750.0,0.02308
2024-11-04 19:00:00,95215000.0,3409000.0,1387.0,210.3,321.0,708.9,224350.0,0.02319
2024-11-04 20:00:00,95450000.0,3424000.0,1388.0,215.7,322.0,710.5,226450.0,0.02352
2024-11-04 21:00:00,95544000.0,3428000.0,1388.0,217.5,324.0,708.6,227200.0,0.02364
2024-11-04 22:00:00,95305000.0,3406000.0,1388.0,216.7,323.0,708.3,226600.0,0.02356
2024-11-04 23:00:00,94850000.0,3402000.0,1388.0,214.7,321.0,706.1,225150.0,0.02341
2024-11-05 00:00:00,94876000.0,3383000.0,1389.0,215.5,321.0,707.5,224700.0,0.02344
2024-11-05 01:00:00,94255000.0,3356000.0,1389.0,215.7,317.0,707.4,222700.0,0.0233
2024-11-05 02:00:00,93880000.0,3355000.0,1391.0,215.4,317.0,706.4,222600.0,0.02326
2024-11-05 03:00:00,94154000.0,3372000.0,1392.0,216.4,318.0,708.1,221550.0,0.02335
2024-11-05 04:00:00,94250000.0,3377000.0,1392.0,218.2,320.0,706.5,221650.0,0.02338
2024-11-05 05:00:00,93802000.0,3371000.0,1392.0,218.0,318.0,703.0,220400.0,0.02345
2024-11-05 06:00:00,93083000.0,3290000.0,1392.0,211.1,312.0,690.9,215950.0,0.02285
2024-11-05 07:00:00,93393000.0,3298000.0,1389.0,211.3,312.0,692.0,216050.0,0.02286
2024-11-05 08:00:00,94005000.0,3325000.0,1389.0,217.5,315.0,697.4,218500.0,0.02323
2024-11-05 09:00:00,94189000.0,3332000.0,1389.0,219.4,316.0,698.6,219350.0,0.02344
2024-11-05 10:00:00,93958000.0,3316000.0,1391.0,223.0,315.0,699.5,218100.0,0.02366
2024-11-05 11:00:00,94400000.0,3339000.0,1390.0,224.0,317.0,701.2,219900.0,0.0239
2024-11-05 12:00:00,94407000.0,3348000.0,1390.0,224.2,318.0,702.1,220100.0,0.02397
2024-11-05 13:00:00,94933000.0,3364000.0,1390.0,224.7,320.0,702.5,221950.0,0.02402
2024-11-05 14:00:00,94980000.0,3371000.0,1390.0,225.4,321.0,705.8,222400.0,0.02405
2024-11-05 15:00:00,95600000.0,3380000.0,1392.0,229.8,321.0,708.0,223100.0,0.02421
2024-11-05 16:00:00,95568000.0,3380000.0,1393.0,232.3,321.0,712.1,224150.0,0.02427
2024-11-05 17:00:00,95987000.0,3397000.0,1394.0,233.4,321.0,713.5,225700.0,0.02446
2024-11-05 18:00:00,95845000.0,3396000.0,1393.0,233.4,322.0,712.6,225500.0,0.0245
2024-11-05 19:00:00,95500000.0,3383000.0,1391.0,230.8,321.0,710.1,223950.0,0.0244
2024-11-05 20:00:00,95700000.0,3389000.0,1391.0,234.9,321.0,709.5,225050.0,0.02454
2024-11-05 21:00:00,95747000.0,3395000.0,1392.0,235.6,321.0,707.5,225500.0,0.02475
2024-11-05 22:00:00,95655000.0,3394000.0,1393.0,235.1,324.0,705.4,226950.0,0.02475
2024-11-05 23:00:00,95870000.0,3400000.0,1390.0,237.3,324.0,707.5,227650.0,0.02489
