,Bit,Ether,tether,Doge,Sand,XRP,Solana,Shib
2023-12-02 13:00:00,297.47703196,1546.27235396,,53705405.58927314,1529510.28078164,13203671.14161999,266183.76196955,34833296940.17534
2023-12-02 17:00:00,405.89038221,1379.74184322,,41356909.22932869,2607963.69678578,10592049.66366852,145325.89943915,30788114047.023674
2023-12-02 21:00:00,330.31820149,1417.79847568,,61337910.06655045,2620554.1385674,10858762.65042604,132570.79884371,32357443291.814484
2023-12-03 01:00:00,541.29431843,6754.39848752,,95627177.36443332,2296562.61983314,19030570.92777294,86807.01151069,40635968368.107445
2023-12-03 05:00:00,734.38578323,3494.82632051,,103632797.43412414,2593933.24635675,18257154.24517101,140984.478162,32555007392.650665
2023-12-03 09:00:00,755.30998322,4540.53796572,,73885029.51358438,6364885.45733934,25058170.60680384,400909.61021894,85546352361.85066
2023-12-03 13:00:00,296.3441523,1827.73954487,,43522127.22174176,2359275.33233067,12837764.61687485,136919.9834726,30981701733.74563
2023-12-03 17:00:00,444.26768115,1815.23605857,,99746083.84946772,3980541.06797912,65517740.62999903,191226.10909576,73450535899.68057
2023-12-03 21:00:00,1173.94032604,4035.05116411,,98436722.1938777,7825228.51220708,42818481.85543528,243504.14421009,89438758074.21399
2023-12-04 05:00:00,881.99235896,4509.78494268,,79598740.82040358,3132164.29631561,15126362.979548,137357.24767956,513349175383.1633
2023-12-04 09:00:00,2733.61439881,11042.23653969,,130266087.79758953,13650103.60045076,44722897.07310142,257761.94444504,170586761510.60562
2023-12-04 13:00:00,2593.9640985,10811.88070069,,322150938.6967984,8412365.19048321,51234606.35842868,308803.50518932,195189871725.7861
2023-12-04 17:00:00,2673.5461592,11447.39156438,,235308315.3328851,15328573.04149524,125024742.18168682,547721.34880491,384008335545.16345
2023-12-04 21:00:00,1604.34979399,7991.44144542,,137906927.5685702,11371625.23073873,55819139.68619601,392547.67458152,211394608644.2716
2023-12-05 01:00:00,541.48350671,2146.68431547,,35150033.45806655,4967107.19328805,12726088.15789448,100968.54583746,44450606898.221214
2023-12-05 05:00:00,1248.06956243,4633.33717516,,184404360.09494856,5043810.17735982,29222997.76703371,193519.05412523,108012587667.97592
2023-12-05 09:00:00,1613.51093376,5082.7264429,,118351390.59278189,31625166.35480728,46947023.98463123,333301.78508886,125623056400.64618
2023-12-05 13:00:00,951.00695417,5216.08554487,,133805118.94498698,28306490.02927667,46580765.53694116,264124.45785672,123168166487.63309
2023-12-05 17:00:00,729.14114522,3483.52847374,,65343191.43361241,14175560.25326296,29194130.30169372,133133.05439189,113481572710.17072
2023-12-05 21:00:00,2323.18878891,6797.1258175,,112073279.8549866,8981014.22271302,42324215.91029965,245006.65690085,290150343560.5294
2023-12-06 01:00:00,2021.84169586,9085.30356558,,167709258.2200121,5844804.31112847,34920558.98946213,208481.36005229,105365570576.51674
2023-12-06 05:00:00,2357.56319417,8868.66297394,,134315484.40812495,7723226.38699736,42649852.18032789,196107.13758891,83060505725.44556
2023-12-06 09:00:00,2236.70077104,9533.71329425,,268715382.54160607,24592384.71469591,65091309.11958533,948666.48412028,306830404271.4136
2023-12-06 13:00:00,1095.41832197,4023.66560661,,883061152.5240732,13810429.3993256,71907880.68487655,363252.91533465,828701852654.9213
2023-12-06 17:00:00,2921.61518062,12000.07741117,,627678057.0916107,20055255.98173979,180982333.98025894,1129403.84189864,5619430185016.409
2023-12-06 21:00:00,1665.56214815,6005.02703596,,286391025.98892254,11844321.46414277,55751838.57651833,253769.810104,923603776060.7577
2023-12-07 01:00:00,441.71431814,1834.94801715,,92206051.37208232,5122251.05482675,14666222.83109921,95990.26001636,184466268243.51877
2023-12-07 05:00:00,479.69916959,4398.75572809,,187780966.9571942,5393194.01842143,78155979.21586633,170556.1469578,302601982061.0155
2023-12-07 09:00:00,827.74709043,4164.37981428,,167524251.214259,14314669.44499346,49961412.23687676,262063.85544022,360098128373.7328
2023-12-07 13:00:00,763.76776145,4810.08507326,,102030762.89577705,14655047.41708529,90057338.61284631,145541.51127816,311302862843.3735
2023-12-07 17:00:00,3905.2922044,9685.59712066,,291583734.34915763,24418789.36805439,130392022.16779102,459561.7365182,412623738747.8626
2023-12-07 21:00:00,1470.08302192,10399.86567481,,98988529.58029342,9095178.86295356,42662127.12200059,499080.30853635,90200811928.62245
2023-12-08 01:00:00,597.51146731,7779.33961171,,56517661.33255383,7387288.49474218,19067517.51529985,289530.94208148,106200551442.98509
2023-12-08 05:00:00,754.52321126,6798.10637071,,147364409.8729857,7716737.31799574,26899113.94120534,619138.52915041,116488202700.41144
2023-12-08 09:00:00,992.30565726,6681.33586075,,97137050.08353826,9067819.87154224,45930129.28582311,828360.80872916,176714153584.68726
2023-12-08 13:00:00,967.14404411,6548.29586754,,105679328.65243994,9289562.154962,53527924.63361025,728788.21956634,754784506536.6119
2023-12-08 17:00:00,978.24072254,5389.98481475,,99919192.29628186,12533020.19648237,41744429.78775231,636715.21771483,597926380566.2218
2023-12-08 21:00:00,1090.38674467,7656.05952277,,98394650.94162574,15430891.30865338,88974575.58554453,636429.97135115,198160925646.18823
2023-12-09 01:00:00,400.47326771,2814.33336706,,77654672.0385825,7869092.02501387,82244488.79902121,200929.34877473,140079541886.83932
2023-12-09 05:00:00,823.58276589,7247.90760339,,111488063.88233791,5621125.69519911,43960634.61061124,269367.56109026,175592600199.4213
2023-12-09 09:00:00,723.00351008,4509.38647193,,137992969.72811142,37217249.78826214,99985784.3889294,486541.31836348,230508378324.651
