,Bit,Ether,tether,Doge,Sand,XRP,Solana,Shib
2024-11-01 01:00:00,170.76242182,668.99277794,1763092.43989715,27646220.79341487,156131.54652751,4094069.42224422,9880.68765064,186809755382.94785
2024-11-01 02:00:00,93.15797443,1135.86493878,1516411.46675183,16019201.97934001,386173.50442866,5849614.65587424,5609.36479479,102065126528.27794
2024-11-01 03:00:00,91.16149359,975.9739912,2317594.45576033,36414893.51930841,926042.02672211,5962283.7105088,7353.21351824,90255948364.01363
2024-11-01 04:00:00,113.52393831,672.9957715,684583.35508652,35457925.26492671,240450.457487,2256413.65046099,5421.31561249,104161741811.75153
2024-11-01 05:00:00,236.13184505,1028.46525807,1168673.29523161,58671390.72078097,654409.28656532,4334256.02029151,9783.21137842,116672977784.11427
2024-11-01 06:00:00,227.56022124,1039.49495735,1839628.00453026,48434623.78032843,490669.89176103,3118205.4737258,10326.31004563,109470062469.64105
2024-11-01 07:00:00,189.88186204,1842.30754546,1334206.42761765,43499224.1546232,534065.14524011,4026660.79685189,25172.65337365,149793666023.68964
2024-11-01 08:00:00,133.21411087,1042.7416016,1459419.18619635,24245135.8907827,309466.30053475,2977526.31602616,8382.9130577,86187877617.06882
2024-11-01 09:00:00,211.18564826,1401.84131775,3286068.33744586,58852229.4666349,401694.11754964,4411128.17571336,16341.9236899,145607293627.65048
2024-11-01 10:00:00,603.91285067,2146.56016713,3313429.06567362,86744742.92960817,1373970.59746072,8522318.15914165,34065.66966014,274532286398.92053
2024-11-01 11:00:00,712.7502848,2987.70037557,5235154.88967647,104908815.34202719,1446225.74469853,16979582.46089539,42208.79530589,331757588628.30176
2024-11-01 12:00:00,219.42290636,987.75059901,3044936.15756485,48784504.22649521,289925.86612809,17306324.84864372,12937.26415123,170143105718.12943
2024-11-01 13:00:00,130.65917376,628.35551248,1621401.61785729,36562272.88527486,264452.36826591,17576408.09910817,8031.50863582,99259578141.48264
2024-11-01 14:00:00,71.47633605,493.31782263,792689.27108142,14466784.94653077,198644.35806118,5692994.61733502,5964.81421441,57539475979.776436
2024-11-01 15:00:00,132.21419208,542.27059226,1902597.88681584,53143237.63548187,298900.15587209,3976826.9212201,13044.04542209,128391702815.95552
2024-11-01 16:00:00,145.02922153,823.88813119,1425283.29739898,72724039.75271402,874235.23124086,8131327.45208483,16804.51898076,181575913886.78116
2024-11-01 17:00:00,80.22749768,660.12831867,1498112.41535583,34203534.81791122,276660.28966149,6055402.21394577,9230.25207454,133962562669.4072
2024-11-01 18:00:00,77.30990656,400.32861158,1398183.93410162,19342430.8281987,140669.86424899,14979844.94922841,5954.66301242,76354436055.01234
2024-11-01 19:00:00,217.91086929,794.62472488,3971994.66121186,48753465.51217114,386797.66714575,5776731.25848971,21835.31549447,131281399398.60565
2024-11-01 20:00:00,199.13572449,670.88005681,3414216.42268623,41954379.01334897,361842.97778929,4446081.30586731,14316.23304759,127547252337.46333
2024-11-01 21:00:00,204.31258406,1111.65583595,3182035.37548994,56350826.90433745,408923.03421625,3596900.83147859,19566.98896439,163291970721.08844
2024-11-01 22:00:00,291.58064104,1547.53593991,2882018.96855734,77485483.22012676,543896.79242471,5546959.30408486,27141.73544605,248975916591.04428
2024-11-01 23:00:00,429.92606117,1955.98106101,1780719.11334866,111709983.4414108,575569.58094962,5539999.46004224,37028.95034469,399969317789.111
2024-11-02 00:00:00,457.62895407,1937.57369344,3424705.24450895,112268805.39199291,967531.04668879,10885793.18224541,48366.77914558,246629650787.70297
2024-11-02 01:00:00,163.49910535,843.3535191,1600363.00613388,61530308.14088376,262518.5598003,7967372.54421302,22540.38023182,108335234667.1077
2024-11-02 02:00:00,72.93505451,292.38873405,498384.95588511,16633925.7751706,186188.09600534,2667925.9827345,7070.29061753,24142972866.133083
2024-11-02 03:00:00,81.13510449,343.91136482,388652.8182418,12904857.15161676,61114.23451624,1711051.53445524,2794.68441527,25997704283.109417
2024-11-02 04:00:00,108.51005892,265.9404186,1169823.51695794,12640644.02814057,22508.85418639,1471887.85977397,4506.8859531,35522345033.82335
2024-11-02 05:00:00,46.9966109,205.11132579,962384.97454037,17125198.49733601,209333.72729113,1432113.97654616,4619.8055846,24644761827.57264
2024-11-02 06:00:00,73.20665635,567.63788523,1593405.37087848,30188281.11503529,52889.91551514,4223103.50219757,7460.35476268,42172745516.486664
2024-11-02 07:00:00,53.71994085,305.02395047,763152.78607148,22715781.35226822,183847.21848315,2776063.4885572,8850.39690738,42044046291.20591
2024-11-02 08:00:00,66.19722013,320.95361593,741616.52872454,14533931.61998753,66182.66997909,2638807.01214819,7019.00975438,34651319426.254776
2024-11-02 09:00:00,85.28888292,485.7921841,1363578.8467613,43615763.93475294,203977.44432971,2915089.82586283,8670.08595104,65628394417.82899
2024-11-02 10:00:00,54.49095256,454.67382945,639928.05552512,13759548.79610708,266582.45790392,1874145.90217017,5616.56655424,51846803441.84459
2024-11-02 11:00:00,89.92375479,354.17094123,1110391.61053316,34030316.9075219,146828.91658131,2034725.13672341,6808.74102387,77345324273.5463
2024-11-02 12:00:00,41.58276136,398.79950511,1126421.24176535,18114837.28367159,109269.40856489,2472753.71212715,6380.77596802,58290329881.59746
2024-11-02 13:00:00,43.54294994,256.15507304,877365.49102437,17978487.68699438,135458.45641542,2365874.43240967,4427.26406078,50641333679.27385
2024-11-02 14:00:00,39.3740396,402.64749198,1591406.88211509,24247056.20490574,85149.16270556,2682682.05415309,5921.10110986,85411979367.32173
2024-11-02 15:00:00,35.35246062,353.7525081,717464.03876702,15674102.10744404,70024.79904081,1615023.16902003,3228.58978299,39256669416.91706
